,BatteryPower,InternalMemory,ClockSpeed,NoOfCores,RAM,TalkTime,DualSim,3G,4G,WiFi,Bluetooth,MobileDepth,MobileWeight,TouchScreen,ScreenHeight,ScreenWidth,FrontCameraPx,RearCameraPX,PriceRange,Total Resolution
281,1429,40,1.5,3,3945,18,1,1,1,1,0,0.9,100,0,11,7,0,14,3,201720
282,1839,54,1.2,7,927,18,0,1,1,1,1,0.5,200,0,19,10,9,11,1,709175
283,659,6,2.7,3,2044,2,0,1,1,1,0,0.5,110,0,15,5,6,7,1,2033166
284,1953,56,2.1,8,2334,4,1,1,0,0,1,0.1,158,0,11,5,7,9,2,424020
285,1172,27,1.9,1,1477,6,0,1,1,0,0,0.7,164,0,12,0,0,3,1,662844
286,612,16,1.9,7,3161,3,1,0,0,0,1,0.3,102,0,8,4,6,7,3,2571760
287,1563,24,2.4,8,3660,5,0,1,1,0,0,0.2,170,1,7,5,0,0,3,241258
288,1191,26,1.3,1,1604,9,1,1,1,1,0,0.8,84,0,14,3,16,20,1,465123
289,615,42,0.5,6,2211,18,1,0,0,1,1,0.6,163,0,7,4,0,4,1,173056
290,1893,63,2.1,2,3822,18,1,0,0,1,1,0.2,134,1,14,3,8,11,3,486031
291,1563,16,1.7,7,3922,8,1,0,0,1,0,0.1,151,0,11,1,10,13,3,234520
292,1995,9,1.9,6,1203,18,0,1,0,1,1,0.8,139,1,14,12,6,18,2,3592290
293,1517,48,0.5,5,2822,11,0,1,1,1,0,0.6,143,1,15,5,6,14,3,1194178
294,832,34,1.6,5,447,12,1,1,1,0,0,0.3,108,1,15,13,1,5,0,402434
295,1162,56,2.0,7,1652,20,0,1,1,0,0,0.7,114,0,5,0,0,1,1,55832
296,1595,12,2.6,8,3608,16,0,0,0,0,1,0.3,121,1,15,1,7,19,3,225320
297,1329,52,1.0,6,1228,6,0,1,0,1,1,0.9,181,0,8,6,1,2,1,1535274
298,928,56,0.5,8,666,5,1,0,0,0,1,0.7,80,1,19,10,11,13,0,274703
299,1656,38,0.5,7,1499,19,1,1,1,1,1,0.1,105,0,12,8,8,17,1,262614
300,1937,58,1.7,1,3321,14,0,1,0,0,1,0.6,189,1,5,4,17,19,3,3053376
301,977,57,1.1,6,1206,8,1,0,0,1,1,0.6,181,1,7,1,2,7,0,35658
302,768,56,0.9,1,952,16,0,1,1,1,1,0.1,113,0,19,3,16,20,0,215270
303,1464,12,0.5,2,3927,15,1,0,0,1,1,0.9,117,1,5,3,11,14,3,997472
304,1177,29,0.9,2,311,19,0,1,1,0,0,0.4,191,0,18,5,1,8,0,156996
305,1348,52,2.0,3,955,7,0,1,0,1,0,0.3,98,1,18,11,18,20,1,3629598
306,1956,37,2.2,3,1109,19,0,1,1,0,0,0.5,87,1,13,1,0,2,1,143560
307,1751,8,0.5,6,2969,17,1,0,0,1,0,0.6,178,0,8,6,6,20,2,95880
308,1530,42,2.0,6,725,19,0,0,0,1,0,0.8,177,0,11,10,11,13,0,896650
309,1997,40,1.8,4,1655,15,1,1,0,0,1,0.5,185,0,7,6,1,8,2,1049592
310,1414,44,1.5,2,3490,13,1,0,0,0,1,0.5,180,1,16,12,5,6,3,49192
311,1707,41,1.4,7,1774,10,0,0,0,0,0,0.8,80,0,12,0,0,2,2,1847428
312,894,50,0.5,3,3615,6,1,1,1,1,0,0.5,199,0,13,0,1,14,3,1878670
313,645,41,1.2,8,714,13,0,1,1,0,0,0.7,184,1,18,2,6,17,0,837330
314,1163,49,2.8,2,2768,12,1,0,0,1,0,0.6,155,0,19,2,0,0,2,392080
315,1126,49,0.7,8,3739,13,0,1,0,0,0,0.9,165,0,14,1,3,17,3,196764
316,1648,64,0.7,4,610,6,0,1,1,0,0,0.8,170,1,8,1,6,9,1,2163028
317,1170,14,0.9,2,715,20,0,1,1,1,1,0.4,199,0,18,5,6,13,0,336066
318,508,42,0.8,1,663,7,0,1,1,0,0,0.3,94,0,13,12,7,8,0,21723
319,1097,64,2.1,3,1725,9,1,1,0,1,0,0.2,161,0,14,5,6,8,1,801966
320,728,5,1.7,2,834,5,1,1,1,0,0,0.6,101,1,16,0,0,20,0,452600
321,1980,29,0.5,1,3865,18,1,1,1,0,0,0.8,177,0,12,10,2,13,3,595920
322,1504,64,2.3,1,3059,10,1,0,0,0,0,0.9,182,1,6,5,1,2,3,36537
323,1379,63,2.1,1,651,7,1,1,1,0,1,1.0,83,1,9,6,14,17,0,283590
324,1698,18,2.1,6,796,14,0,1,1,1,0,0.9,160,0,13,3,5,20,0,360822
325,920,25,2.1,7,785,5,1,0,0,1,0,0.4,115,1,10,7,5,14,0,225302
326,1144,21,1.5,1,3252,8,1,0,0,0,1,0.4,189,0,16,0,0,11,2,115116
327,1995,26,0.5,1,1322,7,0,0,0,1,1,0.2,129,1,15,11,6,15,1,716496
328,1430,27,0.5,1,2832,15,1,0,0,1,0,0.5,183,1,7,1,1,16,2,1338024
329,972,13,0.5,5,1615,13,1,0,0,0,1,0.4,193,1,11,6,5,8,1,2498640
330,662,20,0.5,1,2125,15,0,0,0,1,0,0.8,138,1,17,15,5,10,1,1225224
331,1867,9,2.3,6,990,2,0,1,1,1,0,0.1,191,0,6,1,0,3,1,1026704
332,1730,20,2.0,4,1595,12,1,1,1,0,0,0.1,143,1,14,0,0,10,1,427614
333,1723,7,1.0,3,1213,16,0,1,1,1,1,0.6,126,1,5,0,1,17,1,522624
334,1882,47,1.3,2,2500,11,1,0,0,1,1,0.2,140,0,17,1,8,13,2,77588
335,803,18,0.8,4,2801,12,1,0,0,0,0,0.3,106,1,18,15,0,1,2,586245
336,580,47,1.2,3,3451,11,1,1,0,0,1,0.9,91,1,15,1,0,1,3,1460670
337,668,48,2.3,1,1201,4,0,1,1,0,0,0.3,114,1,14,12,2,19,0,251940
338,1391,36,1.4,1,3139,14,0,1,1,0,0,0.8,182,1,14,7,2,6,2,17584
339,1560,22,2.3,7,1938,16,0,1,1,1,0,0.8,169,1,15,11,0,1,2,1016180
340,821,54,1.8,3,3185,15,1,1,0,0,0,0.1,109,0,8,4,5,9,2,451858
341,811,2,2.4,6,2111,2,1,1,1,1,1,0.3,106,0,18,7,5,13,1,475857
342,1989,17,2.9,8,2369,18,1,1,0,0,1,0.1,193,1,7,0,8,15,2,428978
343,1034,37,2.7,7,3625,12,1,0,0,1,1,0.7,120,1,17,1,6,20,3,847693
344,618,6,2.1,1,1051,15,0,0,0,1,0,0.3,86,0,13,10,2,4,0,2218032
345,654,52,1.3,4,1036,13,0,1,1,0,1,0.7,196,0,17,4,0,4,1,3255070
346,576,10,2.8,5,2938,5,0,1,1,1,1,0.2,184,1,6,0,2,7,2,737694
347,667,3,0.6,6,2855,19,0,1,1,1,1,0.7,185,0,5,0,6,13,2,19019
348,869,57,1.0,1,2727,8,0,1,1,0,1,0.6,118,0,13,3,7,15,2,1968912
349,635,42,0.5,3,2973,18,1,0,0,1,1,0.4,149,0,12,5,2,4,2,317700
350,609,44,3.0,1,2581,15,0,1,1,1,1,0.3,117,0,15,11,15,16,1,72674
351,1557,2,2.8,5,2690,9,1,0,0,1,0,0.1,123,0,18,16,16,20,3,1596294
352,1604,33,1.7,8,916,12,0,0,0,1,1,1.0,191,1,13,10,2,5,0,125826
353,1182,8,0.5,8,2563,19,0,1,1,0,0,0.5,138,0,19,17,7,16,2,271150
354,848,19,2.1,7,3359,14,1,1,1,0,1,0.8,148,0,10,0,10,18,2,181104
355,1610,64,2.9,4,941,9,0,1,1,0,1,0.9,181,1,8,4,7,12,1,1582080
356,1828,17,2.1,1,2280,4,1,0,0,0,1,0.9,199,0,17,14,0,1,2,301728
357,880,50,2.0,7,827,6,1,1,1,1,0,0.5,194,0,15,9,1,3,0,1541196
358,1394,62,0.9,5,473,20,1,1,1,0,1,0.3,175,1,11,1,10,13,0,1580650
359,1960,61,2.3,7,3865,11,1,1,1,0,1,0.3,86,0,10,7,1,3,3,266295
360,809,21,0.8,7,1274,3,0,0,0,0,0,0.9,91,0,18,7,10,19,1,2507878
361,899,57,0.5,2,364,7,1,1,1,0,0,0.9,172,1,11,1,13,18,0,1048828
362,1976,32,0.7,2,3699,13,1,0,0,1,1,0.8,171,1,17,11,4,7,3,2500522
363,879,21,1.5,4,2927,11,1,1,1,1,0,0.8,187,0,14,13,0,2,2,480594
364,916,36,2.6,4,1470,14,0,0,0,0,1,0.3,195,1,13,0,0,12,0,186496
365,763,2,1.7,8,1050,8,1,1,1,0,0,0.5,92,1,6,4,8,14,0,1219208
366,508,9,1.6,6,2616,10,1,1,0,1,0,0.4,162,1,18,8,0,2,2,2724480
367,825,34,2.9,8,2915,10,1,1,0,0,0,0.8,99,1,8,2,0,17,3,2744886
368,1864,46,1.4,1,2686,18,0,1,1,1,0,0.7,178,1,11,7,8,12,2,164808
369,1725,52,0.5,6,1243,5,1,1,1,1,0,1.0,185,1,19,18,8,12,1,1344375
370,1108,52,2.9,2,3264,13,0,0,0,1,1,0.1,183,1,16,1,10,12,3,221780
371,1011,36,1.1,7,2261,16,0,1,1,1,0,0.2,131,1,7,6,4,18,1,360269
372,1703,55,1.5,5,2993,20,1,1,1,1,1,0.7,138,1,5,1,17,19,3,2414221
373,1067,58,1.7,7,706,16,1,0,0,0,1,0.5,135,1,12,9,0,0,0,53799
374,1334,42,2.4,5,2542,8,0,1,1,0,1,0.6,115,0,10,1,5,14,3,2343138
375,775,30,2.6,7,2523,9,0,1,0,1,1,0.4,189,0,17,16,0,10,2,847110
376,1899,26,0.6,2,336,4,0,1,0,1,1,0.1,151,0,13,11,0,0,0,78144
377,930,14,1.3,6,2457,17,1,1,1,0,1,0.4,97,1,11,7,1,10,1,78925
378,1058,19,1.5,4,418,16,0,0,0,1,0,0.4,166,0,9,7,2,14,0,614771
379,1187,46,2.2,2,3917,8,0,1,1,1,1,0.4,145,0,13,11,0,9,3,2127822
380,1874,8,2.7,7,1246,2,1,0,0,1,1,0.9,166,0,8,1,10,13,1,1188612
381,1482,48,0.5,7,2971,12,0,1,0,1,0,0.2,142,1,12,8,2,10,2,407028
382,1809,59,1.7,3,2324,16,0,1,1,1,1,0.1,174,0,10,6,3,4,2,460719
383,864,54,3.0,2,3121,16,1,1,1,1,1,0.7,187,1,18,2,0,1,2,212090
384,625,33,1.9,1,3801,2,0,1,1,0,1,0.2,191,0,10,6,12,20,2,237050
385,1880,18,1.8,3,3333,7,0,1,1,0,1,0.7,138,0,17,15,4,5,3,49629
386,1138,44,1.4,8,3475,3,0,1,1,0,0,0.2,187,0,19,3,12,17,3,126318
387,560,23,0.5,8,2360,18,0,0,0,1,0,1.0,146,1,17,16,14,15,1,677468
388,1117,12,0.5,7,2895,16,0,1,0,0,0,0.6,144,1,7,6,1,8,2,651966
389,1712,63,1.4,7,3652,19,0,1,0,0,0,0.5,137,0,16,1,1,12,3,841122
390,1836,26,1.7,6,3097,18,1,0,0,0,1,0.1,134,1,5,0,3,16,3,464712
391,1036,39,2.4,7,2101,2,0,0,0,0,1,0.2,119,1,10,7,0,3,1,345398
392,1860,23,2.3,4,3918,8,0,0,0,0,1,0.6,162,1,9,2,15,16,3,2051172
393,1375,9,1.1,7,3869,10,0,1,1,1,1,0.9,145,1,19,18,3,19,3,344850
394,1945,57,1.6,4,732,14,1,1,1,0,0,0.3,195,1,14,1,0,1,1,1302479
395,1896,7,0.5,2,3684,18,1,1,1,0,0,0.4,141,0,9,7,8,13,3,354918
396,788,57,2.5,8,3969,6,1,1,1,1,0,0.9,91,1,12,8,4,12,3,48762
397,880,33,1.7,2,1414,7,1,1,0,0,1,0.7,173,1,12,1,0,2,0,40500
398,1323,28,2.5,4,1892,15,1,1,1,1,1,0.2,131,1,10,0,10,12,1,100278
399,1868,42,2.0,1,3131,7,1,1,1,1,0,0.2,169,1,8,3,0,4,3,229020
400,1266,7,1.9,3,2532,4,1,1,1,1,0,0.2,184,1,10,5,0,12,2,507928
401,1042,50,2.7,7,3215,20,1,1,1,1,0,0.8,93,1,18,0,16,18,3,1239535
402,1479,19,0.5,3,3323,6,0,1,0,1,0,0.6,156,0,13,12,8,10,3,265680
403,1476,55,1.2,4,1529,3,1,1,1,1,1,0.1,171,0,13,8,0,5,2,2733906
404,1552,13,2.2,6,2403,9,0,1,1,1,1,0.2,123,1,9,2,6,9,2,275994
405,1454,34,0.5,4,3419,5,1,1,0,0,1,0.7,83,1,7,5,1,3,3,258250
406,1007,45,2.0,5,3648,16,0,0,0,0,0,0.1,95,0,9,0,0,2,3,1813394
407,652,17,2.4,5,1974,12,1,1,1,0,1,0.7,173,0,12,10,9,11,0,43043
408,1504,34,1.5,8,2806,7,0,1,1,1,0,0.7,142,0,7,2,12,15,2,493311
409,1726,51,0.9,4,2239,13,1,1,0,1,1,0.6,193,0,13,9,2,3,2,463517
410,1029,5,1.9,5,582,4,1,1,1,1,1,0.2,171,1,15,7,5,8,0,252384
411,1582,44,2.8,6,3890,10,0,1,1,1,0,0.5,112,1,17,10,2,13,3,2670342
412,1478,48,0.8,5,1141,6,1,0,0,1,1,0.7,99,0,5,2,12,17,1,612108
413,1178,49,1.3,5,2511,17,0,0,0,0,1,0.6,101,0,6,3,0,0,2,345084
414,707,25,2.1,3,3838,7,1,1,0,1,0,0.8,131,0,9,2,2,17,3,284130
415,755,51,2.8,4,2734,16,0,1,1,1,1,0.3,186,0,10,1,5,12,2,311850
416,912,54,2.0,8,2330,20,0,0,0,0,1,0.3,161,1,19,5,1,5,1,346437
417,651,63,0.8,5,2244,19,1,1,1,0,1,0.2,176,1,14,9,2,4,1,470184
418,1483,54,2.1,7,1851,2,0,1,1,0,0,0.2,176,1,15,13,1,2,1,402498
419,914,4,0.9,2,808,5,0,1,0,0,1,0.8,100,1,11,7,2,12,0,285545
420,1456,7,0.5,5,1587,20,1,1,0,1,1,0.4,105,0,6,5,7,12,1,908592
421,1178,57,2.2,3,2492,10,1,1,0,0,0,0.3,84,1,16,14,6,17,2,129792
422,1503,43,0.7,4,2122,2,0,1,1,0,1,0.2,166,0,15,1,10,14,2,1096664
423,1681,11,2.5,2,1122,16,0,0,0,1,1,0.4,158,1,12,6,2,13,0,234975
424,715,48,2.3,4,3709,10,1,0,0,0,0,0.1,160,0,14,2,4,6,2,11802
425,1876,56,2.8,3,3021,18,1,1,1,0,0,0.4,182,0,12,2,3,4,2,137475
426,1190,47,2.2,6,624,19,1,1,0,1,1,0.3,186,1,9,3,9,10,0,2041897
427,1755,24,1.3,7,3937,7,0,1,1,1,1,0.1,134,0,8,1,0,2,3,307450
428,1197,20,1.3,6,1797,4,0,1,1,1,0,0.5,149,1,19,5,3,7,1,1057221
429,1048,28,0.9,2,1458,15,0,1,1,1,1,0.8,194,0,5,1,10,19,1,1907850
430,1887,17,3.0,8,3348,16,1,1,1,0,1,0.2,126,1,18,16,6,7,3,2107256
431,1772,64,0.5,8,1834,20,1,0,0,1,1,0.7,116,1,5,2,3,15,1,147150
432,1421,57,2.8,1,2775,14,0,1,1,1,0,0.4,165,0,13,8,0,2,3,1294117
433,1464,17,0.5,6,1277,19,1,1,1,0,0,0.7,153,0,13,6,0,8,1,560538
434,728,23,2.3,4,457,16,1,1,0,1,0,0.8,111,1,17,10,4,5,0,102942
435,954,50,0.5,2,438,2,0,1,0,0,1,0.3,134,0,17,0,0,11,0,241224
436,685,13,0.5,7,3210,2,1,1,1,1,0,0.8,82,1,15,7,8,15,3,1312473
437,1472,36,2.8,6,985,7,1,1,0,0,0,0.5,130,1,12,11,1,10,1,2532288
438,853,3,2.0,2,3701,8,0,1,1,0,1,0.6,200,1,15,8,10,16,3,498760
439,1469,8,2.1,7,1052,3,0,0,0,0,0,0.7,123,1,8,1,0,0,0,450934
440,1310,57,2.3,8,1175,8,1,0,0,0,1,0.9,135,0,16,0,6,9,0,399161
441,1654,11,1.8,7,1070,14,0,1,0,1,0,0.3,146,1,8,1,1,2,1,2035296
442,902,3,0.7,7,3411,15,0,0,0,1,1,0.3,134,0,12,11,3,9,3,867375
443,1448,26,1.4,3,1175,6,1,0,0,0,0,1.0,156,1,12,9,13,16,1,3315200
444,1631,3,0.9,7,301,13,1,1,1,0,0,0.1,198,0,13,5,2,12,0,337185
445,1608,28,1.8,2,489,8,1,0,0,1,0,0.4,183,0,15,11,7,13,0,1173054
446,1991,64,2.7,2,1733,8,0,1,1,0,1,0.9,145,1,5,3,5,13,2,1401850
447,1349,62,2.0,5,2756,4,1,1,0,0,0,0.3,114,0,11,3,15,16,2,457024
448,1589,51,2.5,1,2612,16,0,1,1,0,0,0.8,195,0,8,2,5,18,2,1411830
449,1844,51,2.3,8,1724,14,1,0,0,1,1,0.7,158,1,5,1,1,3,1,470106
450,712,35,0.5,2,2190,4,1,1,1,1,1,0.2,84,1,16,12,3,10,1,674064
451,972,54,1.7,3,1900,19,0,1,1,1,1,0.7,107,0,16,8,0,4,1,715050
452,1406,34,0.5,3,3915,2,1,1,1,1,0,0.8,98,0,9,8,2,5,3,1389222
453,1289,25,0.9,6,1043,11,0,1,1,0,0,1.0,178,1,6,2,10,12,0,687735
454,932,64,1.3,7,3817,9,0,1,0,1,0,0.7,154,1,8,7,1,2,3,1439424
455,1747,48,0.9,3,2362,19,0,1,1,0,1,0.7,94,1,17,2,6,19,2,1071057
456,1172,41,2.1,3,1107,5,1,0,0,0,1,0.1,95,0,7,3,4,7,1,2475576
457,1128,53,1.4,5,2982,12,0,1,0,0,1,0.4,84,1,14,9,12,14,3,834330
458,664,28,1.2,5,2042,19,1,1,0,0,0,0.9,106,1,17,15,0,5,1,1128738
459,513,44,0.5,4,1343,9,0,1,1,0,1,0.1,186,1,5,1,6,12,0,536673
460,1742,43,2.3,7,2610,10,1,1,1,1,0,0.4,170,0,12,3,9,12,2,308493
461,1512,6,1.7,7,2335,7,0,1,0,1,1,0.7,162,1,15,7,12,17,2,181220
462,1986,51,0.5,8,1614,3,1,1,1,1,0,0.1,165,1,17,12,3,20,1,382956
463,965,13,1.5,2,1138,10,1,0,0,0,1,1.0,109,1,9,8,5,14,0,129740
464,1067,40,2.4,8,604,11,1,1,1,0,1,0.6,122,0,16,14,3,15,0,982566
465,1583,42,1.6,3,3652,9,0,1,1,0,1,0.8,118,0,14,10,5,10,3,237050
466,1653,37,0.5,4,3955,18,1,1,1,1,0,0.9,176,1,19,4,2,6,3,797895
467,1433,4,1.6,8,258,4,0,1,0,1,0,0.7,133,1,11,9,7,11,0,224519
468,765,18,2.9,7,1066,16,0,1,1,0,0,0.1,153,1,11,1,0,0,0,4758
469,1845,61,0.5,1,1731,6,1,0,0,0,1,0.3,96,0,9,5,10,12,1,202940
470,752,48,0.5,7,3860,16,1,0,0,0,0,0.7,87,0,7,5,1,13,3,119392
471,1948,16,2.8,5,3630,17,1,0,0,0,0,0.1,100,1,9,7,8,10,3,1224140
472,1077,45,2.5,3,1965,6,1,1,1,0,0,1.0,174,1,6,2,0,4,1,1169688
473,932,60,0.5,4,1459,19,0,1,1,0,1,0.7,104,1,6,1,1,2,0,288904
474,1968,22,0.9,3,2323,7,0,0,0,1,0,0.8,115,0,9,8,0,7,2,1083999
475,1122,2,1.2,4,3291,13,0,1,0,1,0,0.6,120,1,11,2,9,14,2,261490
476,1588,61,0.5,1,3272,17,0,1,1,0,0,0.8,159,1,18,0,0,13,3,1696016
477,601,26,2.1,4,918,12,0,0,0,0,0,0.3,101,0,9,1,4,18,0,278932
478,1615,15,0.5,4,3488,3,0,0,0,1,0,0.1,132,0,16,2,14,16,3,781232
479,1589,58,2.2,4,3961,14,1,1,0,1,1,0.1,128,0,16,14,2,4,3,1828827
480,1417,56,2.7,6,590,6,0,1,1,1,1,0.9,114,0,11,3,2,4,0,814606
481,1697,34,0.7,1,3701,8,0,1,1,0,1,0.1,95,1,15,9,1,3,3,298304
482,1330,3,1.3,5,463,11,1,0,0,1,1,0.3,83,0,14,6,14,17,0,1236760
483,1476,43,0.5,2,3644,6,0,1,1,1,0,0.7,148,0,15,10,0,2,3,3527908
484,1579,27,1.5,6,1713,10,0,1,0,1,1,0.2,142,1,16,4,0,18,1,1233204
485,1277,41,3.0,4,429,14,0,1,1,1,0,0.3,200,1,9,4,0,3,0,983180
486,1089,2,0.9,5,2765,10,1,1,1,1,1,0.7,145,0,13,12,12,15,2,800724
487,1663,27,2.5,4,2084,18,1,1,1,0,1,0.3,169,0,7,1,13,14,2,1195809
488,1949,20,1.8,5,1125,9,0,0,0,0,0,0.8,186,0,17,10,0,4,1,306656
489,1138,48,1.1,3,2048,18,0,1,1,1,0,0.6,109,1,6,0,5,14,2,414041
490,685,17,2.7,6,1223,18,0,1,0,1,0,0.3,174,0,8,0,7,20,0,630750
491,1889,31,2.8,1,3672,3,0,1,1,1,0,1.0,132,1,5,1,5,10,3,188020
492,857,17,2.0,7,3100,13,1,1,0,0,1,0.2,195,1,17,5,3,9,2,148836
493,1902,50,2.8,8,343,18,1,0,0,0,0,0.8,124,1,11,8,6,9,0,1590806
494,1225,15,2.4,5,1970,15,0,1,0,0,1,0.1,155,1,16,8,0,0,1,824880
495,1066,39,1.6,5,2728,17,0,1,0,1,0,0.6,131,1,6,0,5,17,2,635986
496,1554,5,0.5,3,3635,18,1,0,0,0,1,1.0,124,0,7,4,11,12,3,623705
497,1337,31,0.5,2,2180,16,0,1,0,1,0,0.8,186,0,7,4,13,20,1,30912
498,1926,33,1.7,3,2488,14,1,1,1,0,1,0.4,172,0,6,1,1,2,2,1136174
499,869,34,1.3,2,3864,11,1,1,0,0,0,0.1,104,0,13,3,3,4,3,257642
500,1278,54,0.5,8,1155,20,1,0,0,1,1,0.1,104,0,7,1,1,16,0,435750
501,1773,32,2.5,6,3566,13,0,1,1,1,1,0.6,170,0,17,6,16,18,3,1788480
502,1661,6,0.8,7,864,2,1,1,1,1,1,1.0,109,0,9,8,1,2,1,794178
503,1438,32,2.2,7,869,9,0,1,1,1,0,0.6,176,1,19,13,0,6,0,1135829
504,1661,29,1.4,2,591,9,0,1,0,1,1,0.3,119,1,9,2,0,0,0,461496
505,1846,19,0.6,1,1333,11,0,0,0,1,1,0.7,159,1,15,6,1,2,1,64159
506,1260,23,2.0,7,2208,10,1,1,1,1,1,0.2,123,0,12,11,2,10,2,1188265
507,512,15,0.5,3,2610,15,1,0,0,1,1,0.9,83,1,18,14,7,15,2,460401
508,581,59,2.2,5,2819,9,0,0,0,1,0,0.7,185,0,19,17,0,6,2,1295239
509,1872,44,2.3,3,1955,15,0,1,0,1,1,0.7,134,0,9,4,6,15,2,577881
510,687,50,1.3,4,3416,8,0,1,1,0,1,0.6,151,1,14,6,9,20,3,672184
511,1062,10,2.5,1,3803,16,1,0,0,1,1,0.9,160,0,7,3,6,13,3,2883972
512,1678,7,2.3,1,574,19,1,1,0,0,1,0.5,192,0,5,3,11,14,0,736934
513,1417,45,0.5,4,2129,12,0,1,1,1,1,0.9,166,0,13,9,10,19,1,374556
514,1074,9,2.4,6,1948,18,1,1,1,1,0,0.9,103,1,13,1,2,14,1,900592
515,1832,2,0.7,7,2978,18,0,0,0,0,0,0.6,90,0,18,7,2,6,2,121644
516,1039,12,1.3,8,1619,10,0,1,1,1,0,0.8,200,1,7,1,0,0,1,2608956
517,1059,61,2.4,3,3716,11,0,1,0,0,0,0.1,134,1,15,13,8,18,3,3090508
518,1606,57,1.4,4,3454,20,0,0,0,1,0,0.1,154,0,13,8,3,4,3,2168348
519,1928,19,1.8,3,3777,13,0,1,1,1,1,1.0,187,1,7,2,9,20,3,1091780
520,1875,55,0.5,1,2712,6,1,1,1,1,1,0.7,91,0,7,2,11,17,3,3499484
521,1128,46,1.1,8,1434,11,0,1,1,0,1,0.9,135,0,5,0,9,10,1,1188082
522,1748,14,1.7,3,3968,3,1,1,1,1,0,0.5,146,0,16,12,6,7,3,1060006
523,1413,51,0.5,5,3383,2,1,0,0,0,0,0.3,117,0,16,5,5,11,3,96679
524,825,23,0.5,2,3278,2,1,1,1,1,0,0.1,86,0,8,6,0,0,3,394902
525,1589,26,1.4,8,3970,18,0,1,1,1,1,0.1,100,0,16,8,3,16,3,2942807
526,535,54,0.5,8,2674,10,1,1,1,0,1,0.5,145,0,14,8,8,15,2,666690
527,1780,27,0.5,4,2776,14,0,1,0,1,1,0.1,190,1,19,17,6,11,3,1947253
528,1671,61,0.6,2,2336,7,1,1,1,0,0,0.1,129,0,10,4,7,11,2,223024
529,1821,12,0.9,1,2430,6,0,1,1,1,0,0.3,114,1,7,4,9,18,2,174891
530,1076,38,2.6,6,891,9,0,1,1,0,1,0.7,119,1,18,3,3,8,0,118035
531,532,8,0.8,5,728,8,1,1,0,0,1,0.1,193,1,13,5,3,10,0,1642402
532,777,30,2.6,5,3886,7,0,1,0,0,1,0.9,148,0,14,10,3,17,3,216027
533,1217,17,0.5,4,1711,9,0,1,0,1,1,0.5,182,0,7,3,3,13,1,396896
534,1656,16,1.6,7,2856,20,1,1,0,1,1,1.0,117,1,14,3,0,2,2,287680
535,1185,31,1.9,8,2447,3,0,1,0,1,0,0.4,152,1,16,2,0,7,2,1374354
536,577,37,2.4,6,814,19,0,1,1,1,0,0.9,161,1,11,7,8,20,0,1576150
537,737,49,2.4,4,2951,10,1,0,0,0,1,0.6,193,1,7,0,7,16,2,1142603
538,704,53,2.2,6,3653,15,1,1,0,1,0,0.2,186,1,7,1,4,6,2,254263
539,525,51,0.5,8,1891,12,1,0,0,0,1,0.5,137,1,18,3,5,11,1,415794
540,504,16,0.5,1,701,15,1,1,0,1,1,0.1,166,0,17,15,5,9,0,1277055
541,793,38,1.2,4,3139,12,1,1,1,1,0,0.6,176,1,6,1,1,7,3,2225190
542,569,39,0.6,8,2811,7,1,1,0,1,0,0.1,184,0,7,6,2,9,1,287471
543,1590,21,1.9,5,1701,4,1,1,1,1,0,1.0,160,0,11,4,3,18,1,885960
544,707,16,0.5,2,1853,12,0,1,1,1,0,0.1,194,1,17,14,0,0,1,1548716
545,767,19,1.9,6,2445,6,0,1,1,1,0,0.2,185,1,6,1,16,17,1,271000
546,1350,50,0.5,8,2287,8,1,1,1,0,1,0.8,181,1,15,1,0,4,1,200736
547,1117,31,0.6,2,2003,14,1,0,0,1,1,0.2,146,1,8,7,0,7,2,2046766
548,641,7,1.1,1,3595,19,0,1,1,1,1,0.9,192,1,7,5,0,3,2,316503
549,1002,35,0.8,2,1726,19,1,1,1,1,0,0.5,83,0,16,5,0,4,1,1904520
550,1408,45,2.1,5,3952,3,1,0,0,1,1,0.9,89,0,8,6,10,14,3,666944
551,1900,41,2.0,8,850,4,1,1,0,1,1,0.5,190,1,5,1,1,6,1,1455552
552,726,43,2.9,8,1446,8,0,1,0,0,0,0.1,101,1,17,2,0,0,0,506160
553,1544,45,2.3,8,1300,18,0,1,1,0,0,0.1,113,1,8,7,12,20,1,202252
554,1454,21,1.6,4,719,10,0,1,1,1,1,0.2,160,1,14,10,6,10,0,204600
555,1230,26,2.2,5,988,9,1,0,0,1,1,0.8,123,1,11,5,6,7,0,281216
556,1552,53,1.2,8,2606,12,0,1,1,0,0,0.3,180,0,13,6,10,18,2,282940
557,1519,32,2.1,1,2912,15,0,1,0,0,0,0.7,200,1,11,10,0,10,2,208152
558,723,30,1.9,1,2339,17,0,0,0,1,1,0.3,102,1,19,9,4,7,2,2788767
559,1191,13,2.4,1,1028,8,1,1,0,1,0,0.9,169,1,14,6,2,7,0,324527
560,1168,61,1.3,8,3173,17,0,0,0,1,0,0.1,90,0,9,4,9,10,3,250902
561,1229,14,0.5,2,1667,17,1,0,0,1,0,0.8,191,0,17,6,15,16,1,225360
562,1758,13,0.5,8,1897,15,0,1,1,0,1,0.6,190,0,6,2,11,14,2,1420368
563,1290,3,0.5,6,1214,15,0,0,0,1,0,0.1,143,1,9,8,0,4,1,665400
